PackageID,Length,Width,Depth,CartonName,ItemsFit,%Utilization,CartonName,ItemsFit,%Utilization,CartonName,ItemsFit,%Utilization,CartonName,ItemsFit,%Utilization,CartonName,ItemsFit,%Utilization,CartonName,ItemsFit,%Utilization,BestFit
DY11045,12.25,12.25,21.25,2-Way Flat Pallet-33264,6,57.52,2-Way Flat Pallet-54432,9,52.73,2-Way Flat Pallet-72576,12,52.73,2-Way Flat Pallet-90720,15,52.73,Half Pallet Box (2 or 4 way base)-10682,2,59.7,Full Pallet Box (2 or 4 way)-21458,4,59.44,Full Pallet Box (2 or 4 way)
DY11140,44.7,15.7,1.85,2-Way Flat Pallet-33264,0,0,2-Way Flat Pallet-54432,0,0,2-Way Flat Pallet-72576,48,85.87,2-Way Flat Pallet-90720,48,68.69,Half Pallet Box (2 or 4 way base)-10682,0,0,Full Pallet Box (2 or 4 way)-21458,0,0,2-Way Flat Pallet
DY11266,4,4,10,2-Way Flat Pallet-33264,180,86.58,2-Way Flat Pallet-54432,306,89.95,2-Way Flat Pallet-72576,432,95.24,2-Way Flat Pallet-90720,540,95.24,Half Pallet Box (2 or 4 way base)-10682,50,74.89,Full Pallet Box (2 or 4 way)-21458,100,74.56,Full Pallet Box (2 or 4 way)
DY11268,10.95,8.15,10.95,2-Way Flat Pallet-33264,30,88.13,2-Way Flat Pallet-54432,45,80.79,2-Way Flat Pallet-72576,60,80.79,2-Way Flat Pallet-90720,75,80.79,Half Pallet Box (2 or 4 way base)-10682,6,54.89,Full Pallet Box (2 or 4 way)-21458,12,54.65,Full Pallet Box (2 or 4 way)
DY11279,10.9,8.1,10.4,2-Way Flat Pallet-33264,30,82.81,2-Way Flat Pallet-54432,45,75.91,2-Way Flat Pallet-72576,60,75.91,2-Way Flat Pallet-90720,75,75.91,Half Pallet Box (2 or 4 way base)-10682,6,51.58,Full Pallet Box (2 or 4 way)-21458,12,51.35,Full Pallet Box (2 or 4 way)
DY11666,63.5,19.5,24.5,2-Way Flat Pallet-33264,0,0,2-Way Flat Pallet-54432,0,0,2-Way Flat Pallet-72576,0,0,2-Way Flat Pallet-90720,0,0,Half Pallet Box (2 or 4 way base)-10682,0,0,Full Pallet Box (2 or 4 way)-21458,0,0,NONE
DY11748,55,15,23,2-Way Flat Pallet-33264,0,0,2-Way Flat Pallet-54432,0,0,2-Way Flat Pallet-72576,0,0,2-Way Flat Pallet-90720,3,62.75,Half Pallet Box (2 or 4 way base)-10682,0,0,Full Pallet Box (2 or 4 way)-21458,0,0,2-Way Flat Pallet
DY54026,14,9.5,33.5,2-Way Flat Pallet-33264,3,40.18,2-Way Flat Pallet-54432,8,65.48,2-Way Flat Pallet-72576,11,67.53,2-Way Flat Pallet-90720,14,68.76,Half Pallet Box (2 or 4 way base)-10682,0,0,Full Pallet Box (2 or 4 way)-21458,0,0,2-Way Flat Pallet
DY54220,4.3,4.17,6.84,2-Way Flat Pallet-33264,240,88.49,2-Way Flat Pallet-54432,400,90.13,2-Way Flat Pallet-72576,560,94.64,2-Way Flat Pallet-90720,688,93.01,Half Pallet Box (2 or 4 way base)-10682,72,82.67,Full Pallet Box (2 or 4 way)-21458,144,82.3,Full Pallet Box (2 or 4 way)
DY54235,7.7,2.1,8.3,2-Way Flat Pallet-33264,220,88.76,2-Way Flat Pallet-54432,380,93.7,2-Way Flat Pallet-72576,510,94.31,2-Way Flat Pallet-90720,630,93.2,Half Pallet Box (2 or 4 way base)-10682,63,79.15,Full Pallet Box (2 or 4 way)-21458,144,90.06,Full Pallet Box (2 or 4 way)
DY54270,6.91,2.65,9.13,2-Way Flat Pallet-33264,172,86.45,2-Way Flat Pallet-54432,283,86.92,2-Way Flat Pallet-72576,375,86.38,2-Way Flat Pallet-90720,472,86.98,Half Pallet Box (2 or 4 way base)-10682,45,70.43,Full Pallet Box (2 or 4 way)-21458,108,84.14,Full Pallet Box (2 or 4 way)
DY54290,5.91,4.21,7.14,2-Way Flat Pallet-33264,162,86.52,2-Way Flat Pallet-54432,270,88.12,2-Way Flat Pallet-72576,359,87.88,2-Way Flat Pallet-90720,432,84.6,Half Pallet Box (2 or 4 way base)-10682,45,74.84,Full Pallet Box (2 or 4 way)-21458,93,76.99,Full Pallet Box (2 or 4 way)
DY54300,5.18,5.02,6.84,2-Way Flat Pallet-33264,144,77,2-Way Flat Pallet-54432,240,78.42,2-Way Flat Pallet-72576,336,82.34,2-Way Flat Pallet-90720,426,83.52,Half Pallet Box (2 or 4 way base)-10682,50,83.25,Full Pallet Box (2 or 4 way)-21458,100,82.89,Full Pallet Box (2 or 4 way)
DY54303,18.6,16.8,0.8,2-Way Flat Pallet-33264,124,93.19,2-Way Flat Pallet-54432,206,94.61,2-Way Flat Pallet-72576,252,86.8,2-Way Flat Pallet-90720,309,85.15,Half Pallet Box (2 or 4 way base)-10682,17,39.78,Full Pallet Box (2 or 4 way)-21458,59,68.73,Full Pallet Box (2 or 4 way)
DY54310,6.91,3.68,7.34,2-Way Flat Pallet-33264,159,89.22,2-Way Flat Pallet-54432,244,83.67,2-Way Flat Pallet-72576,354,91.04,2-Way Flat Pallet-90720,440,90.53,Half Pallet Box (2 or 4 way base)-10682,33,57.66,Full Pallet Box (2 or 4 way)-21458,81,70.45,Full Pallet Box (2 or 4 way)
DY54320,5.02,4.3,9.13,2-Way Flat Pallet-33264,126,74.65,2-Way Flat Pallet-54432,224,81.1,2-Way Flat Pallet-72576,315,85.54,2-Way Flat Pallet-90720,413,89.72,Half Pallet Box (2 or 4 way base)-10682,45,83.02,Full Pallet Box (2 or 4 way)-21458,90,82.66,Full Pallet Box (2 or 4 way)
